ticker,setup,entry_date,exit_date,entry,exit,qty,days,pnl,pnl_pct,r,reason,m_r6m
HCC,pullback,2023-10-30,2023-11-07,47.5744,45.0444,3,6,-8.84,-6.17,-1.165,손절,39.8
AZZ,pullback,2023-10-27,2023-11-08,45.5605,45.3355,3,8,-1.9,-1.39,-0.295,SMA50 이탈,25.2
FUTU,pullback,2023-11-07,2023-11-09,58.6926,55.0772,2,2,-8.25,-7.0,-0.879,SMA50 이탈,48.9
IMVT,pullback,2023-11-08,2023-11-09,34.67,31.8964,4,1,-12.29,-8.82,-1.108,손절,82.0
WFRD,pullback,2023-11-10,2023-11-16,93.2427,89.1609,1,4,-4.9,-5.23,-0.702,SMA50 이탈,60.8
SUZ,pullback,2023-11-09,2023-11-17,10.2834,10.1888,14,6,-2.61,-1.81,-0.242,SMA50 이탈,28.9
PRDO,pullback,2023-11-17,2023-11-20,17.0234,15.9324,8,1,-9.91,-7.25,-0.91,SMA50 이탈,48.5
FRO,pullback,2023-11-16,2023-11-30,17.5341,15.9194,9,9,-15.89,-10.02,-2.551,갭하락 손절,63.3
MNSO,pullback,2023-11-30,2023-12-01,24.3699,22.3592,5,1,-11.11,-9.07,-1.139,갭하락 손절,73.3
NPKI,pullback,2023-11-20,2023-12-06,7.17,6.89,23,11,-7.9,-4.77,-0.704,SMA50 이탈,82.6
POWL,pullback,2023-12-01,2023-12-06,27.1775,25.8915,6,3,2.37,1.45,0.308,손절,44.9
CWCO,pullback,2023-10-02,2024-01-04,27.5091,32.4358,7,65,23.85,12.33,2.497,SMA50 이탈,86.1
EDU,pullback,2024-01-04,2024-01-18,71.6682,72.5001,2,9,0.37,0.25,0.032,SMA50 이탈,79.4
UPWK,pullback,2023-12-07,2024-01-24,13.96,14.16,11,31,6.6,4.28,1.026,SMA50 이탈,53.3
HWKN,pullback,2024-01-24,2024-02-01,66.8651,55.8914,2,6,-23.05,-17.16,-2.178,갭하락 손절,38.6
UEC,pullback,2024-02-01,2024-02-20,7.9,7.268,19,12,-13.3,-8.82,-1.108,손절,112.2
CAMT,pullback,2023-12-07,2024-03-08,61.7744,76.0891,2,62,21.08,16.98,2.643,SMA50 이탈,101.5
ALXO,pullback,2024-03-08,2024-03-11,14.12,13.8897,14,1,-4.99,-2.51,-1.547,손절,235.5
ANF,pullback,2023-09-25,2024-03-18,50.25,130.82,3,120,84.83,56.02,18.822,120일 만료,105.6
LQDA,pullback,2024-03-11,2024-04-12,14.04,13.95,11,23,11.58,7.46,0.937,SMA50 이탈,98.0
LQDA,pullback,2024-04-12,2024-04-15,15.33,14.03,14,1,-20.05,-9.3,-1.635,갭하락 손절,135.5
MOD,pullback,2024-03-18,2024-04-17,88.43,85.64,1,21,-3.57,-4.02,-0.505,SMA50 이탈,96.0
SMCI,pullback,2024-04-17,2024-04-18,99.201,92.848,1,1,-7.22,-7.24,-0.909,SMA50 이탈,242.3
NVMI,pullback,2024-04-17,2024-04-18,175.22,170.0,1,1,-6.77,-3.85,-0.754,SMA50 이탈,65.9
VST,pullback,2024-04-18,2024-04-19,67.9753,64.0669,2,1,-9.01,-6.59,-1.152,손절,114.5
DOCU,pullback,2024-04-18,2024-04-19,58.3,55.7,3,1,-9.34,-5.32,-1.045,SMA50 이탈,39.3
BVN,pullback,2024-04-19,2024-04-22,15.1768,14.9306,12,1,-4.58,-2.5,-0.394,SMA50 이탈,91.5
VRT,pullback,2023-10-31,2024-04-24,37.8925,84.3394,3,120,57.29,50.17,6.299,120일 만료,158.3
NAMS,pullback,2024-04-24,2024-04-25,21.48,21.44,7,1,-1.63,-1.08,-0.136,SMA50 이탈,204.3
HCI,pullback,2024-01-18,2024-05-09,85.4916,101.7924,1,78,15.46,18.0,2.26,SMA50 이탈,54.0
BKD,pullback,2024-04-19,2024-05-23,6.51,6.68,23,24,8.69,5.78,1.104,SMA50 이탈,59.8
TBCH,pullback,2024-05-09,2024-05-23,15.5,15.86,12,10,2.63,1.41,0.177,SMA50 이탈,74.7
